   timestamp          x        y      theta
1572538374.378387 0.0180211 17.7322502 -24.0247631
1572538374.878397 -0.0819106 17.8449535 -25.4332848
1572538375.111768 -0.1323366 17.8960495 -26.0494118
1572538375.611833 -0.2324996 18.0016632 -27.4453259
1572538376.078399 -0.3307652 18.0991802 -28.7295094
1572538376.578530 -0.4407263 18.2028198 -30.1241875
1572538377.045155 -0.5449734 18.2987175 -31.4780579
1572538377.511915 -0.6536574 18.3927193 -32.7153053
1572538377.745160 -0.7084212 18.4363632 -33.3865967
1572538378.211912 -0.8169127 18.5217457 -34.7569618
1572538378.678545 -0.9298477 18.6050491 -36.1333008
1572538379.111921 -1.0404987 18.6805954 -37.3586273
1572538379.378669 -1.1075325 18.7242470 -38.1665955
1572538379.845301 -1.2304630 18.8010788 -39.6328163
1572538380.112052 -1.3041706 18.8432312 -40.4859886
1572538380.612058 -1.4499664 18.9253712 -42.0692101
1572538381.112088 -1.5956964 19.0030518 -43.7289963
1572538381.345440 -1.6648283 19.0356293 -44.5117798
1572538381.845461 -1.8186207 19.1077957 -46.2192345
1572538382.078844 -1.8898335 19.1402912 -46.9708519
1572538382.578823 -2.0490713 19.2029381 -48.7109108
1572538383.012220 -2.1859655 19.2560768 -50.2077866
1572538383.478828 -2.3358240 19.3070793 -51.7998619
1572538383.945579 -2.4802008 19.3519020 -53.3666344
1572538384.412241 -2.6274700 19.3933868 -54.9343681
1572538384.945605 -2.7981977 19.4403954 -56.6395760
1572538385.378961 -2.9322710 19.4776344 -57.9595451
1572538385.845590 -3.0753226 19.5141773 -59.2221718
1572538386.312344 -3.2186527 19.5489674 -60.5139427
1572538386.779097 -3.3598881 19.5765934 -61.8145332
1572538387.479106 -3.5832844 19.6231670 -63.7430344
1572538387.912480 -3.7087507 19.6461830 -64.9092865
1572538388.345734 -3.8343935 19.6649055 -66.0593872
1572538388.845864 -4.0013523 19.6884499 -67.4299850
1572538389.279115 -4.1441369 19.7026081 -68.5371780
1572538389.779267 -4.3142042 19.7162304 -69.8572388
1572538390.245883 -4.4691014 19.7286930 -71.0152969
1572538390.745871 -4.6155939 19.7426910 -72.0483398
1572538391.212626 -4.6954479 19.7500610 -72.6558685
1572538404.279982 -4.8815808 19.7680817 -73.7774734
1572538405.613470 -5.0321589 19.7809792 -74.7582855
1572538406.513475 -5.1939631 19.7885704 -75.7910995
1572538407.180240 -5.3295455 19.7942104 -76.5503922
1572538407.613483 -5.4355836 19.8023930 -77.1598740
1572538408.246864 -5.6062264 19.8178520 -78.1284943
1572538408.713617 -5.7416496 19.8282070 -78.7343750
1572538409.146992 -5.8608923 19.8375072 -79.2722702
1572538409.613623 -6.0025787 19.8493824 -79.8405991
1572538410.080374 -6.1646032 19.8612213 -80.4725342
1572538410.547005 -6.3351731 19.8773117 -81.0843124
1572538410.780379 -6.4194336 19.8848286 -81.3913498
1572538411.213757 -6.5707784 19.8986855 -81.8609467
1572538411.447138 -6.6518097 19.9082890 -82.1081238
1572538411.680412 -6.7349949 19.9169197 -82.3047867
1572538411.947138 -6.8232536 19.9225445 -82.5391159
1572538412.413765 -6.9786425 19.9343128 -82.8949814
1572538412.647149 -7.0557356 19.9416027 -83.0967178
1572538413.113771 -7.2051487 19.9515686 -83.3650742
1572538413.580524 -7.3546658 19.9633503 -83.7051849
1572538413.847151 -7.4318695 19.9680595 -83.8596573
1572538414.280533 -7.5633764 19.9790058 -84.1757050
1572538414.747304 -7.7048984 19.9897480 -84.5140686
1572538415.247286 -7.8579464 19.9984035 -84.8084412
1572538415.513911 -7.9454279 19.9914265 -84.8043137
1572538415.980686 -8.0874605 20.0160465 -85.3142090
1572538416.247288 -8.1633825 20.0179062 -85.4636230
1572538416.714041 -8.3080893 20.0284309 -85.7875595
1572538416.947445 -8.3859215 20.0319881 -85.8903275
1572538417.447424 -8.5391521 20.0394955 -86.2420197
1572538417.914090 -8.6898098 20.0458736 -86.4343414
1572538418.147431 -8.7648726 20.0450783 -86.5558701
1572538418.647439 -8.9250412 20.0521412 -86.7910995
1572538418.880809 -8.9988451 20.0607357 -86.9577789
1572538419.414209 -9.1579924 20.0686302 -87.1938553
1572538419.680833 -9.2315216 20.0747623 -87.3468552
1572538420.247565 -9.4021530 20.0801449 -87.5512161
1572538420.480945 -9.4754915 20.0823631 -87.6044083
1572538420.980943 -9.6300650 20.0901756 -87.7647171
1572538421.214321 -9.7023401 20.0914345 -87.8269806
1572538421.747701 -9.8712769 20.0974312 -87.9948425
1572538422.014327 -9.9553108 20.1010494 -88.0773315
1572538422.514329 -10.1082048 20.1034908 -88.2775116
1572538423.014332 -10.2568083 20.1039085 -88.5655441
1572538423.247713 -10.3288336 20.1002789 -88.8185501
1572538423.481102 -10.3957071 20.0950146 -89.1049500
1572538423.947716 -10.5428438 20.0734901 -89.8424149
1572538424.147715 -10.6045437 20.0618324 -90.2345810
1572538424.614467 -10.7543697 20.0302887 -91.1466217
1572538425.114470 -10.9151258 19.9933224 -92.2847519
1572538425.547850 -11.0500069 19.9528313 -93.3385696
1572538426.014627 -11.1940250 19.9051876 -94.5412216
1572538426.514606 -11.3486004 19.8512974 -95.8762970
1572538426.781229 -11.4354029 19.8223400 -96.5965576
1572538427.247984 -11.5924711 19.7633209 -97.8572083
1572538427.847989 -11.7865925 19.6760731 -99.6488342
1572538428.081364 -11.8633757 19.6385250 -100.3381195
1572538428.547998 -12.0207233 19.5653629 -101.7676315
1572538429.048018 -12.1835556 19.4710464 -103.5258408
1572538429.248015 -12.2500505 19.4303799 -104.2779388
1572538429.681378 -12.3931179 19.3345375 -106.0100632
1572538430.148126 -12.5374146 19.2217293 -107.9568787
1572538430.648130 -12.6953554 19.0904446 -110.1731720
1572538430.914761 -12.7802105 19.0145798 -111.4194183
1572538431.381509 -12.9242878 18.8757362 -113.5715790
1572538431.848286 -13.0613251 18.7286415 -115.9429474
1572538432.081520 -13.1279602 18.6514549 -117.1700745
1572538432.548267 -13.2569962 18.4911289 -119.6078873
1572538432.981645 -13.3754616 18.3401546 -122.0124893
1572538433.414904 -13.4797297 18.1957188 -124.1793671
1572538433.848276 -13.5743113 18.0419483 -126.2926254
1572538434.281655 -13.6648312 17.8842487 -128.4605560
1572538434.548428 -13.7180061 17.7860794 -129.8713684
1572538434.981664 -13.8038139 17.6223698 -132.0368958
1572538435.415036 -13.8748465 17.4438133 -134.3430634
1572538435.648452 -13.9193707 17.3617077 -135.4989929
1572538436.115174 -13.9918356 17.1852264 -137.9219360
1572538436.348427 -14.0101738 17.1239204 -139.2643890
1572538436.781796 -14.0782948 16.9107761 -141.3805847
1572538437.248551 -14.1258945 16.7161598 -143.9224243
1572538437.681802 -14.1688747 16.5291996 -146.2832947
1572538438.148592 -14.2122154 16.3211021 -148.7873077
1572538438.581930 -14.2334557 16.1194916 -151.0548248
1572538439.015329 -14.2569971 15.9478197 -153.3619690
1572538439.448563 -14.2719622 15.7618818 -155.5940399
1572538439.881941 -14.2856255 15.5654593 -157.4718018
1572538440.281939 -14.3007574 15.3961945 -159.0171051
1572538440.748697 -14.3349953 15.2032413 -160.8599396
1572538441.182087 -14.3415194 15.0204983 -162.3288879
1572538441.648700 -14.3580828 14.8289919 -163.7519989
1572538442.082076 -14.3665590 14.6386986 -165.0681610
1572538442.515455 -14.3715982 14.4583378 -166.4662781
1572538442.982222 -14.3748503 14.2636471 -167.8737793
1572538443.482227 -14.3798523 14.0620995 -169.2715302
1572538443.948840 -14.3820915 13.8701067 -170.4302521
1572538444.382259 -14.3901434 13.6885128 -171.3697510
1572538444.848969 -14.4155331 13.5150719 -172.2514496
1572538445.382352 -14.4193344 13.3241358 -173.0783844
1572538445.848976 -14.4378328 13.1557379 -173.7671051
1572538446.282352 -14.4378777 13.0161047 -174.2765045
1572538446.748982 -14.4649487 12.8461838 -174.9253082
1572538447.215736 -14.4608049 12.6198311 -175.4511566
1572538447.615738 -14.4689837 12.4814568 -175.8974915
1572538448.082489 -14.4760990 12.2809706 -176.4063110
1572538448.549121 -14.4847498 12.0956135 -176.8007507
1572538449.049121 -14.4932728 11.9027090 -177.1338348
1572538449.515875 -14.5050116 11.7225723 -177.4188080
1572538449.949257 -14.5122986 11.5431023 -177.6607361
1572538450.415880 -14.5209427 11.3556967 -177.8994598
1572538451.115890 -14.5366011 11.0798378 -178.1471100
1572538451.549262 -14.5513649 10.9059715 -178.2936707
1572538452.049268 -14.5670910 10.7023954 -178.4514771
1572538452.516017 -14.5771732 10.5129519 -178.5024261
1572538452.982654 -14.5922604 10.3230743 -178.5843201
1572538453.449397 -14.6088419 10.1368351 -178.6224670
1572538453.882790 -14.6210546 9.9668245 -178.6680756
1572538454.316151 -14.6321754 9.7997570 -178.7303772
1572538454.782778 -14.6450024 9.6188440 -178.7343750
1572538454.982793 -14.6504116 9.5400200 -178.7468109
1572538455.416160 -14.6627226 9.3738127 -178.7222900
1572538455.882913 -14.6775398 9.1934938 -178.7606354
1572538456.382918 -14.6900682 8.9956846 -178.7449341
1572538456.816299 -14.7032108 8.8291912 -178.7902832
1572538457.082920 -14.7075205 8.7248945 -178.8324890
1572538457.549698 -14.7211819 8.5445585 -178.8530426
1572538458.249718 -14.7353172 8.2694912 -178.9609985
1572538458.716301 -14.7468462 8.0974188 -179.0480652
1572538459.216431 -14.7558250 7.9087582 -179.1130829
1572538459.683060 -14.7619781 7.7288747 -179.1892853
1572538460.383065 -14.7763386 7.4514050 -179.3013153
1572538461.083196 -14.7919273 7.1797581 -179.3732910
1572538461.949831 -14.8118200 6.8490539 -179.3737946
1572538462.616582 -14.8274288 6.5937572 -179.3944702
1572538463.316587 -14.8432388 6.3092561 -179.3956451
1572538463.983341 -14.8555222 6.0430717 -179.3983002
1572538464.216750 -14.8590193 5.9457488 -179.3596649
1572538464.716753 -14.8652611 5.7444568 -179.3735657
1572538465.183370 -14.8737593 5.5633864 -179.4927673
1572538465.683352 -14.8852701 5.3644643 -179.5642548
1572538466.183475 -14.8906689 5.1708522 -179.6715088
1572538466.683511 -14.8968201 4.9774880 -179.7880096
1572538467.150104 -14.9046230 4.7989469 -179.8829346
1572538467.583484 -14.9077168 4.6330814 179.9487305
1572538468.050234 -14.9195595 4.4491911 179.8087006
1572538468.550241 -14.9304247 4.2467799 179.8017426
1572538468.816879 -14.9348431 4.1411009 179.7503510
1572538469.316997 -14.9461966 3.9453433 179.7682190
1572538469.783619 -14.9565392 3.7552423 179.7141418
1572538470.017010 -14.9580202 3.6606474 179.7266998
1572538470.517000 -14.9674788 3.4603724 179.7040710
1572538470.983777 -14.9726686 3.2758441 179.6195374
1572538471.483758 -14.9816666 3.0822930 179.6211853
1572538471.917134 -14.9913225 2.9219313 179.5909119
1572538472.383758 -14.9982929 2.7388616 179.5063934
1572538472.850578 -15.0061579 2.5622070 179.5309448
1572538473.350541 -15.0167370 2.3715537 179.4846039
1572538473.817149 -15.0202541 2.1929038 179.4911804
1572538474.583900 -15.0407228 1.8987842 179.4654694
1572538475.083943 -15.0549755 1.7141045 179.5382690
1572538475.550656 -15.0650749 1.5379094 179.4984283
1572538476.017283 -15.0746145 1.3508606 179.5431976
1572538476.517285 -15.0878391 1.1599989 179.6508942
1572538476.984037 -15.0994244 0.9724955 179.7012939
1572538477.450676 -15.1162996 0.7808905 179.7374420
1572538477.950828 -15.1234436 0.5751967 179.8814392
1572538478.450798 -15.1377344 0.3686561 179.9512177
1572538478.950799 -15.1552534 0.1647347 179.9425354
1572538479.417433 -15.1726046 -0.0284294 179.8400726
1572538479.917556 -15.2309341 -0.1885026 179.7271729
1572538480.384202 -15.2253513 -0.3606260 179.6914520
1572538480.884187 -15.2163734 -0.4654136 179.8721161
1572538481.350963 -15.3717871 -0.7304672 179.1000824
1572538481.617588 -15.3763971 -0.8367928 179.0757446
1572538482.084320 -15.4018698 -1.0120327 178.9570770
1572538482.617698 -15.4079218 -1.2047977 178.8634491
1572538483.084352 -15.4086475 -1.4136096 178.8013458
1572538483.551087 -15.4560385 -1.6086731 178.5164642
1572538484.051087 -15.4796247 -1.7840893 178.3598175
1572538484.517709 -15.4885035 -1.9671085 178.2764130
1572538485.017841 -15.4908504 -2.1592622 178.2007751
1572538485.717841 -15.5131159 -2.4433811 177.9024048
1572538486.184471 -15.5188866 -2.6236532 177.8860626
