   timestamp          x          y         theta        diff_angle
1573324318.552871 -15.7988033 1.7385470 -177.9558716 0.5462036
1573324319.019649 -15.8567333 1.2581036 -177.3724976 0.5833740
1573324319.486352 -15.9292440 0.7575611 -176.8264923 0.5460052
1573324319.952971 -16.0106125 0.2571502 -176.1474609 0.6790314
1573324320.386336 -16.0776539 -0.2135105 -175.7257080 0.4217529
1573324320.619706 -16.1185837 -0.4561980 -175.4615631 0.2641449
1573324321.052948 -16.1953316 -0.9229367 -175.0333862 0.4281769
1573324321.486316 -16.2672977 -1.3552817 -175.0385895 0.0052032
1573324321.919690 -16.3246994 -1.7366281 -174.8594971 0.1790924
1573324322.386420 -16.3816319 -2.1151533 -174.7776031 0.0818939
1573324322.819788 -16.4329891 -2.4733419 -174.6864319 0.0911713
1573324323.286405 -16.4951668 -2.8730159 -174.5769806 0.1094513
1573324323.719768 -16.5439739 -3.2498221 -174.5913696 0.0143890
1573324324.186400 -16.6023560 -3.6690958 -174.6083527 0.0169830
1573324324.619749 -16.6482258 -4.0519104 -174.8332214 0.2248688
1573324325.053117 -16.6821156 -4.4205613 -175.1694031 0.3361816
1573324325.719855 -16.6900291 -5.0018783 -176.8467560 1.6773529
1573324326.153097 -16.6505013 -5.3885207 -178.4055786 1.5588226
1573324326.619837 -16.5968475 -5.8281174 179.5199432 1.1143646
1573324327.319827 -16.4580212 -6.5057325 175.4845886 4.0353546
1573324327.753188 -16.2834625 -6.9165678 172.4543610 3.0302277
1573324327.986564 -16.1778622 -7.1341553 170.4229279 2.0314331
1573324328.419927 -15.9627924 -7.5274925 166.2076111 4.2153168
1573324328.853316 -15.7219515 -7.8915205 161.9039001 4.3037109
1573324329.286536 -15.4691038 -8.2231655 158.2490997 3.6548004
1573324329.753276 -15.1607380 -8.5665493 154.0441284 4.2049713
1573324329.953273 -15.0229387 -8.7016554 152.2600098 1.7841187
1573324330.386642 -14.7095127 -8.9861565 148.4254761 3.8345337
1573324330.620008 -14.5363979 -9.1268873 146.3900452 2.0354309
1573324331.053288 -14.2140560 -9.3878708 143.0393677 3.3506775
1573324331.486618 -13.8820114 -9.6337814 139.8594208 3.1799469
1573324332.119981 -13.3941565 -9.9744978 135.8524475 4.0069733
1573324332.753384 -12.8982182 -10.2802477 132.0292206 3.8232269
1573324333.420079 -12.3609819 -10.6014423 128.7489014 3.2803192
1573324334.120091 -11.7564182 -10.9204464 125.4247818 3.3241196
1573324334.586808 -11.3553133 -11.1166553 123.3622894 2.0624924
1573324335.253418 -10.7905703 -11.4065170 121.3750610 1.9872284
1573324335.753408 -10.3621511 -11.6153364 120.0905838 1.2844772
1573324336.253402 -9.9363594 -11.8332987 119.2481003 0.8424835
1573324336.720159 -9.5548496 -12.0352879 118.5761185 0.6719818
1573324337.153505 -9.2079554 -12.2167692 117.7908630 0.7852554
1573324337.620122 -8.8406487 -12.3962221 117.4096680 0.3811951
1573324338.120258 -8.4542027 -12.5873423 116.9565811 0.4530869
1573324338.586875 -8.0784369 -12.7552071 116.2453461 0.7112350
1573324339.020216 -7.7137680 -12.9171915 115.4245758 0.8207703
1573324339.520210 -7.2552648 -13.1093845 114.5113678 0.9132080
1573324340.020204 -6.7533226 -13.2725382 112.9539490 1.5574188
1573324340.486944 -6.2525516 -13.3703613 110.2589569 2.6949921
1573324340.986939 -5.6937242 -13.4105806 106.4787674 3.7801895
1573324341.453549 -5.1675892 -13.3757238 101.8807526 4.5980148
1573324341.953660 -4.5938816 -13.2766352 96.7086487 5.1721039
1573324342.386904 -4.1076612 -13.1448717 91.9712906 4.7373581
1573324342.853669 -3.6182990 -12.9637108 86.9086151 5.0626755
1573324343.320409 -3.1605694 -12.7431288 81.8272400 5.0813751
1573324343.553643 -2.9437153 -12.6224327 79.3219147 2.5053253
1573324343.787005 -2.7357876 -12.4895897 76.7352676 2.5866470
1573324344.253746 -2.3366904 -12.2340498 72.3342896 4.4009781
1573324344.686986 -1.9802737 -12.0281162 69.9315720 2.4027176
1573324345.153738 -1.6310887 -11.7892113 67.0744629 2.8571091
